video_id,count,clicks
cv_11867,1,0
cv_7285,3,0
cv_10751,2,0
cv_9189,2,0
cv_1440,2,0
cv_11784,2,0
cv_6535,2,0
cv_11898,1,0
cv_9335,3,0
cv_4361,2,0
cv_6454,2,0
cv_8550,1,0
cv_8448,1,0
cv_1336,3,0
cv_1512,2,0
cv_9336,3,0
cv_7344,1,0
cv_8003,2,0
cv_12223,1,0
cv_1598,2,0
cv_6668,2,0
cv_4152,2,0
cv_11758,2,0
cv_1284,2,0
cv_9059,2,0
cv_8465,1,0
cv_10706,3,0
cv_11765,2,0
cv_8515,1,0
cv_6768,2,0
cv_9208,1,0
cv_12148,2,0
cv_4362,2,0
cv_707,1,0
cv_8430,1,0
cv_1520,2,0
cv_6980,2,0
cv_835,2,0
cv_1152,1,0
cv_9236,2,0
cv_3480,1,0
cv_4314,1,0
cv_5659,2,0
cv_9953,2,0
cv_12220,2,0
cv_9024,1,0
cv_1341,3,0
cv_3665,2,0
cv_8925,1,0
cv_7279,1,0
cv_10127,1,0
cv_4434,2,0
cv_10747,2,0
cv_12271,1,0
cv_8780,2,0
cv_10072,1,0
cv_9020,1,0
cv_12726,1,0
cv_10729,3,0
cv_12460,2,0
cv_13003,1,0
cv_8724,1,0
cv_3526,2,0
cv_12987,2,0
cv_8692,2,0
cv_12463,1,0
cv_6072,2,0
cv_4619,1,0
cv_6063,2,0
cv_1914,2,0
cv_12993,2,0
cv_1399,1,0
cv_10667,1,0
cv_10826,3,0
cv_1343,1,0
cv_6658,2,0
cv_1358,2,0
cv_8011,3,0
cv_4706,2,0
cv_3629,1,0
cv_3241,2,0
cv_8411,1,0
cv_4239,2,0
cv_9274,2,0
cv_8799,1,0
cv_6617,1,0
cv_3255,2,0
cv_4233,2,0
cv_9875,3,0
cv_12974,2,0
cv_10811,1,0
cv_7479,1,0
cv_12252,2,0
cv_6694,2,0
cv_1398,1,0
cv_8728,2,0
cv_4253,2,0
cv_1942,2,0
cv_8760,2,0
cv_1912,1,0
cv_10673,2,0
cv_7087,2,0
cv_10722,3,0
cv_4273,1,0
cv_8485,1,0
cv_1947,2,0
cv_7777,1,0
cv_8723,1,0
cv_8739,3,0
cv_1383,2,0
cv_6654,2,0
cv_5666,2,0
cv_1668,2,0
cv_1372,1,0
cv_1779,2,0
cv_6784,2,0
cv_1711,2,0
cv_3080,2,0
cv_10822,3,0
cv_2904,2,0
cv_3074,2,0
cv_4553,2,0
cv_1740,2,0
cv_1605,1,0
cv_1971,2,0
cv_13009,2,0
cv_4525,1,0
cv_2973,2,0
cv_8795,2,0
cv_5611,2,0
cv_12985,2,0
cv_4528,1,0
cv_4378,2,0
cv_4555,1,0
cv_9191,3,0
cv_12781,2,0
cv_9088,3,0
cv_9209,1,0
cv_9427,1,0
cv_5949,1,0
cv_7105,2,0
cv_4565,2,0
cv_1609,1,0
cv_10571,2,0
cv_12161,2,0
cv_513,1,0
cv_1746,2,0
cv_6903,2,0
cv_7099,2,0
cv_11699,1,0
cv_2920,1,0
cv_7048,2,0
cv_12779,1,0
cv_11682,2,0
cv_4386,2,0
cv_12323,1,0
cv_9124,3,0
cv_1716,2,0
cv_9023,1,0
cv_6994,1,0
cv_3384,1,0
cv_8073,3,0
cv_2035,2,0
cv_9273,2,0
cv_9034,2,0
cv_3236,2,0
cv_12343,1,0
cv_10781,2,0
cv_12738,1,0
cv_9022,1,0
cv_1647,3,0
cv_9002,1,0
cv_1694,2,0
cv_12325,1,0
cv_10274,1,0
cv_11984,1,0
cv_11578,1,0
cv_12013,1,0
cv_8121,2,0
cv_1990,1,0
cv_8132,2,0
cv_11575,1,0
cv_4044,1,0
cv_11049,1,0
cv_8204,1,0
cv_11093,1,0
cv_8255,1,0
cv_11761,1,0
cv_8220,1,0
cv_12364,1,0
cv_8267,1,0
cv_3462,1,0
cv_11573,1,0
cv_9187,1,0
cv_1865,1,0
cv_11082,1,0
cv_11998,1,0
cv_1884,2,0
cv_9151,1,0
cv_1858,3,0
cv_10825,1,0
cv_9135,1,0
cv_10570,1,0
cv_7078,1,0
cv_6369,2,0
cv_3603,2,0
cv_12847,1,0
cv_7060,1,0
cv_9193,1,0
cv_7085,2,0
cv_9139,1,0
cv_7041,3,0
cv_7125,2,0
cv_5004,2,0
cv_3486,2,0
cv_10553,1,0
cv_10838,1,0
cv_5754,1,0
cv_10818,1,0
cv_3463,2,0
cv_7139,1,0
cv_10585,1,0
cv_7127,3,0
cv_5017,1,0
cv_690,2,0
cv_1363,2,0
cv_3877,2,0
cv_570,1,0
cv_5745,1,0
cv_1403,2,0
cv_10591,5,0
cv_209,1,0
cv_5037,1,0
cv_7126,1,0
cv_7918,1,0
cv_11189,2,0
cv_1353,1,0
cv_805,2,0
cv_12881,2,0
cv_9106,1,0
cv_12892,1,0
cv_8988,1,0
cv_3022,2,0
cv_191,1,0
cv_8557,1,0
cv_1669,2,0
cv_5437,2,0
cv_4242,1,0
cv_3600,1,0
cv_9433,1,0
cv_11844,1,0
cv_4466,3,0
cv_10137,1,0
cv_12447,1,0
cv_12251,1,0
cv_4610,1,0
cv_12237,1,0
cv_8793,1,0
cv_1949,1,0
cv_4201,2,0
cv_12274,1,0
cv_988,3,0
cv_3265,1,0
cv_3273,2,0
cv_3718,2,0
cv_9167,3,0
cv_3264,2,0
cv_9197,3,0
cv_28,1,0
cv_10516,2,0
cv_464,2,0
cv_111,1,0
cv_4395,2,0
cv_9152,3,0
cv_7067,1,0
cv_10530,3,0
cv_9113,2,0
cv_7113,2,0
cv_7732,3,0
cv_7093,2,0
cv_9129,2,0
cv_9133,3,0
cv_10580,3,0
cv_12151,3,0
cv_8888,1,0
cv_1689,2,0
cv_9070,3,0
cv_956,1,0
cv_9062,2,0
cv_8859,1,0
cv_12208,3,0
cv_12269,1,0
cv_6763,1,0
cv_10791,3,0
cv_4332,2,0
cv_2985,2,0
cv_4315,2,0
cv_11893,1,0
cv_10117,1,0
cv_20,1,0
cv_9179,2,0
cv_6669,2,0
cv_1162,2,0
cv_1194,1,0
cv_12511,1,0
cv_2303,3,0
cv_2304,1,0
cv_2305,1,0
cv_2306,1,0
cv_2307,2,0
cv_2308,3,0
cv_2309,1,0
cv_2310,1,0
cv_2311,3,0
cv_2312,1,0
cv_2313,1,0
cv_2314,1,0
cv_2315,2,0
cv_2316,2,0
cv_2319,1,0
cv_2320,1,0
cv_2321,3,0
cv_2322,2,0
cv_2323,2,0
cv_2324,2,0
cv_2325,2,0
cv_2326,2,0
cv_2327,2,0
cv_2328,2,0
cv_2329,2,0
cv_2330,1,0
cv_2331,2,0
cv_2332,2,0
cv_2333,2,0
cv_2334,2,0
cv_2335,2,0
cv_2336,1,0
cv_2337,1,0
cv_2338,2,0
cv_2339,1,0
cv_2340,2,0
cv_2341,2,0
cv_2342,2,0
cv_2343,2,0
cv_2344,2,0
cv_2345,2,0
cv_2346,2,0
cv_2347,2,0
cv_2348,2,0
cv_2349,1,0
cv_2350,1,0
cv_2351,1,0
cv_4307,2,0
cv_2352,3,0
cv_2353,2,0
cv_2354,1,0
cv_2355,1,0
cv_2356,2,0
cv_2357,2,0
cv_2358,1,0
cv_2359,2,0
cv_2360,2,0
cv_2361,2,0
cv_2362,1,0
cv_2363,2,0
cv_2364,2,0
cv_2365,2,0
cv_2366,1,0
cv_2367,2,0
cv_2368,2,0
cv_2369,1,0
cv_2370,1,0
cv_2371,1,0
cv_2372,1,0
cv_2373,1,0
cv_2374,1,0
cv_2375,2,0
cv_2376,2,0
cv_2377,2,0
cv_2378,2,0
cv_2379,2,0
cv_2380,1,0
cv_2381,2,0
cv_2382,1,0
cv_2383,2,0
cv_2384,2,0
